expert,subpanel,item,item_name,criterion,score
E01,A,P1,Guardian,Internal Coherence,5
E01,A,P1,Guardian,Differentiation,5
E01,A,P1,Guardian,Representativeness,5
E01,A,P1,Guardian,Utility,4
E02,A,P1,Guardian,Internal Coherence,4
E02,A,P1,Guardian,Differentiation,5
E02,A,P1,Guardian,Representativeness,5
E02,A,P1,Guardian,Utility,5
E03,A,P1,Guardian,Internal Coherence,5
E03,A,P1,Guardian,Differentiation,5
E03,A,P1,Guardian,Representativeness,5
E03,A,P1,Guardian,Utility,5
E04,A,P1,Guardian,Internal Coherence,4
E04,A,P1,Guardian,Differentiation,4
E04,A,P1,Guardian,Representativeness,5
E04,A,P1,Guardian,Utility,5
E05,A,P1,Guardian,Internal Coherence,5
E05,A,P1,Guardian,Differentiation,5
E05,A,P1,Guardian,Representativeness,4
E05,A,P1,Guardian,Utility,4
E06,A,P1,Guardian,Internal Coherence,4
E06,A,P1,Guardian,Differentiation,4
E06,A,P1,Guardian,Representativeness,5
E06,A,P1,Guardian,Utility,4
E07,B,P1,Guardian,Internal Coherence,4
E07,B,P1,Guardian,Differentiation,4
E07,B,P1,Guardian,Representativeness,4
E07,B,P1,Guardian,Utility,5
E08,B,P1,Guardian,Internal Coherence,5
E08,B,P1,Guardian,Differentiation,5
E08,B,P1,Guardian,Representativeness,5
E08,B,P1,Guardian,Utility,5
E09,B,P1,Guardian,Internal Coherence,5
E09,B,P1,Guardian,Differentiation,4
E09,B,P1,Guardian,Representativeness,4
E09,B,P1,Guardian,Utility,5
E10,B,P1,Guardian,Internal Coherence,4
E10,B,P1,Guardian,Differentiation,5
E10,B,P1,Guardian,Representativeness,5
E10,B,P1,Guardian,Utility,5
E11,B,P1,Guardian,Internal Coherence,5
E11,B,P1,Guardian,Differentiation,5
E11,B,P1,Guardian,Representativeness,5
E11,B,P1,Guardian,Utility,4
E12,B,P1,Guardian,Internal Coherence,5
E12,B,P1,Guardian,Differentiation,4
E12,B,P1,Guardian,Representativeness,5
E12,B,P1,Guardian,Utility,5
E01,A,P2,Sentinel,Internal Coherence,5
E01,A,P2,Sentinel,Differentiation,5
E01,A,P2,Sentinel,Representativeness,4
E01,A,P2,Sentinel,Utility,4
E02,A,P2,Sentinel,Internal Coherence,5
E02,A,P2,Sentinel,Differentiation,5
E02,A,P2,Sentinel,Representativeness,4
E02,A,P2,Sentinel,Utility,4
E03,A,P2,Sentinel,Internal Coherence,5
E03,A,P2,Sentinel,Differentiation,4
E03,A,P2,Sentinel,Representativeness,5
